Name,Latitude,Longitude,Address
2 back to 1 Pit ejumula,1.7230849999999998,33.394981666666666,Kalaki, Uganda
After hill eteka,1.72499,33.39403333333333,Kalaki, Uganda
Ant hill eteeka,1.7198616666666666,33.384701666666665,Kalaki, Uganda
Ant hill eteka,1.7248766666666668,33.393795,Kalaki, Uganda
Egarai - ejumula end,1.723975,33.39540833333333,Kalaki, Uganda
Ejooro line 24,1.7201983333333337,33.38617166666667,Kalaki, Uganda
Ejooro point 23,1.7209999999999999,33.384231666666665,Kalaki, Uganda
Ekakai. Elakas end,1.7261283333333335,33.394866666666665,Kalaki, Uganda
Elaaam ant hill point 26,1.7198733333333331,33.38582666666667
Elaam - Ejooro 25,1.719913333333333,33.38605333333333,Kalaki, Uganda
Elaam line main road,1.7232800000000004,33.386161666666666,Kalaki, Uganda
Elaam ogaali 22-21-22,1.722081666666667,33.386026666666666,Kalaki, Uganda
Elakas road 29,1.7196849999999997,33.383545000000005,Unnamed Road, Uganda
Elakas Ant hill,1.7262783333333331,33.39436166666667
Eminit - Ejoro,1.7219316666666666,33.38558166666667,Kalaki, Uganda
Eminit ogaali elaam back wards,1.7220149999999999,33.38558,Kalaki, Uganda
Eminit ogaali line 22-23,1.7219416666666665,33.385538333333336,Kalaki, Uganda
Enyite P2 line egarai,1.723655,33.39532833333333,Kalaki, Uganda
Eteeka anti hill point 28,1.7198449999999998,33.38412,Kalaki, Uganda
Eteka,1.7246249999999999,33.393975,Kalaki, Uganda
Etirir opinya anthill line,1.726175,33.39347333333333,Kalaki, Uganda
Exact House Location,1.7224366666666668,33.38540666666667,Kalaki, Uganda
Hill line cont...,1.7260183333333337,33.39366833333334,Kalaki, Uganda
Hill line opinya,1.7256283333333333,33.393818333333336,Kalaki, Uganda
Home ELAAAM - ELAAM 22-21,1.7223249999999997,33.386695,Kalaki, Uganda
Home Elaam S12,1.723285,33.38599833333333,Kalaki, Uganda
House Sangai,1.7222666666666668,33.38524666666667,Kalaki, Uganda
Line 221,1.7235483333333335,33.39492499999999,Kalaki, Uganda
Opinya S1,1.7229966666666665,33.394239999999996,Kalaki, Uganda
P2 Ejumula 22,1.7241266666666666,33.395824999999995,Kalaki, Uganda
P2 end 221,1.7234800000000003,33.395955,Kalaki, Uganda
P2 s1 ekakai,1.7231249999999998,33.39530166666667,Kalaki, Uganda
Plot center,1.7193400000000003,33.376848333333335
Point,1.7198516666666668,33.38476
Road line opinya s12,1.726365,33.39342,Kalaki, Uganda
S12 opinya anthill line,1.7262516666666665,33.393525,Kalaki, Uganda
Side 11 p2,1.723136666666667,33.395914999999995,Kalaki, Uganda
Tree Elam...water area behind house,1.723255,33.38608833333333,Kalaki, Uganda
